marca_temporal;identidad_de_genero;edad;maximo_nivel_de_formacion;que_carrera_de_grado_estudiaste;en_que_tipo_de_universidad_estudiaste_tu_carrera_de_grado;pais_en_el_que_trabajas;provincia_donde_trabajas;trabajo;rubro_de_la_empresa;cuantos_empleados_tiene_la_empresa;origen_del_capital;cuantas_personas_integran_el_area_de_rrhh;en_que_puesto_trabajas;tipo_de_contratacion;como_es_tu_jornada_laboral;cual_es_tu_funcion_principal_en_rrhh;cuantas_personas_tenes_a_cargo_pone_0_si_no_tenes_gente_a_cargo;hace_cuantos_anos_trabajas_en_la_empresa_donde_estas_0_para_menos_de_un_ano;hace_cuantos_anos_estas_en_tu_puesto_actual_0_para_menos_de_un_ano;cuantos_anos_de_experiencia_tenes_en_rrhh;cual_es_tu_remuneracion_bruta_mensual_en_tu_moneda_local_antes_de_impuestos_y_deducciones;que_beneficios_tenes;recibis_bonos;frecuencia_del_bono;tuviste_ajustes_por_inflacion_en_2022;cual_fue_el_porcentaje_de_aumento_acumulado_que_tuviste_en_2022;mes_del_ultimo_ajuste;trabajas_en_proyectos_independientes_ademas_de_tu_empleo;queres_contestar_mas_preguntas_30;van_a_ver_los_partidos_de_la_copa_del_mundo_de_futbol_en_la_oficina;se_permite_bloquear_la_agenda_durante_los_partidos_de_tu_seleccion_en_el_mundial;te_exigieron_saber_un_idioma_extranjero_ingles_portugues_etc_para_entrar_a_trabajar_en_tu_empresa;que_porcentaje_del_tiempo_usas_el_idioma_extranjero_en_tu_puesto_actual;que_tan_satisfecho_estas_con_tu_empresa;estas_buscando_trabajo;que_tan_de_acuerdo_estas_con_la_siguiente_frase_tengo_un_plan_de_desarrollo_claro_dentro_de_la_organizacion;cual_es_la_anecdota_mas_graciosa_o_bizarra_que_te_haya_sucedido_trabajando_en_rrhh;en_tu_empresa_sentis_que_rrhh_tiene_un_rol_importante_dentro_de_la_toma_de_decisiones_de_la_empresa;recursos_humanos_deberia_tener_un_colegio_profesional_como_abogacia_por_ejemplo;fundamenta_tu_respuesta_a_la_pregunta_anterior;participas_en_alguna_comunidad_de_rrhh;en_cuales;cual_es_la_tarea_que_mas_odias_trabajando_en_rrhh_actual_o_pasada;queres_contestar_mas_preguntas_45;te_identificas_como_lgbtiq_lesbiana_gay_bisexual_transexual_otra_minoria_sexual;tenes_alguna_discapacidad;en_tu_empresa_puedes_ser_como_realmente_eres_por_ej_expresar_abiertamente_tu_personalidad_tu_identidad_de_genero_orientacion_sexual_etc;que_porcentaje_aproximado_del_management_de_tu_empresa_son_mujeres_entiendase_posiciones_de_jefatura_de_gerencia_o_de_direccion;en_lo_que_va_del_ano_han_contratado_en_tu_empresa_a_personas_mayores_de_50_anos;en_lo_que_va_del_ano_han_contratado_en_tu_empresa_a_personas_con_discapacidad;es_importante_incorporar_el_lenguaje_inclusivo_en_la_organizacion;en_tu_organizacion_existe_una_linea_segura_o_politicas_definidas_para_actuar_frente_a_situaciones_de_acoso_o_discriminacion;sufriste_alguna_situacion_de_acoso_abuso_o_de_discriminacion_en_algun_trabajo;sentis_que_tu_entorno_laboral_es_machista
2022-10-07T09:46:07Z;Mujer cis;25 - 30;Maestría o superior en curso;Economía;Universidad Privada;Ecuador;NA;Relación de Dependencia;Bancos, banca online;1.001 - 2.500;Multinacional;;HRBP;Indeterminado;Full time;People analytics;0;;2;4;2000;Comedor / Almuerzos, Seguro de vida (adicionales a los de ley);No recibo bono;No recibo bono;No tuve ajustes;;NA;Si, en proyectos ad honorem;Si;No;No está permitido;Si;0.5;4;No,  pero escucho ofertas;3;;Si, tiene un rol importante real;No;NA;Si;;Organizar la fiesta/regalos de fin de año;Si;No;Auditiva;Totalmente de acuerdo;0.3;Si;Si;Ni de acuerdo ni en desacuerdo;No;No;Si pero no es tanto
2022-10-07T11:33:52Z;Mujer cis;41 - 45;Maestría o superior completa;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;101 - 250;Nacional;;Director;Indeterminado;Full time;Generalista;2;;0;2;535;Medicina prepaga / Plan de salud, Tarjeta de descuento, Abono de celular, Equipamiento ergonómico de teletrabajo, Home office, Idiomas;Dos sueldos;Anual;2 ajustes;;Septiembre;Si, en emprendimiento no relacionado con RRHH;Si;Sí;Sí, formalmente está avalado por la empresa;No;0;4;No estoy buscando cambiar;4;;Si, tiene un rol importante real;No se;NA;Si;;Archivar;Si;No;No tengo ninguna discapacidad;Ni de acuerdo ni en desacuerdo;0.3;No;No;Ni de acuerdo ni en desacuerdo;No;No;Si pero no es tanto
2022-10-07T12:13:02Z;Hombre cis;18 - 25;Diplomado de posgrado completo;Administración de Empresas;Universidad Privada;Perú;NA;Relación de Dependencia;Transporte (incluyendo aviación civil, ferrocarriles por carretera);1 - 50;Nacional;;Analista;Eventual;Full time;Reclutamiento y selección;0;;0;0;1500;Horarios flexibles, Comedor / Almuerzos, Home office, Préstamos, Seguro de vida (adicionales a los de ley);Un sueldo;Semestral;No tuve ajustes;;NA;No;No;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-07T12:17:57Z;Hombre cis;36 - 40;Maestría o superior completa;Psicología;Universidad Pública;Bolivia;NA;Relación de Dependencia;Comercio;51 - 100;Multinacional;;Jefe;Indeterminado;Full time;Generalista;0;;0;10;19196;Home office, Idiomas, Productos de la empresa uno al mes gratis + descuento 40% en los demás;Un sueldo;Anual;No tuve ajustes;;Enero;No;Si;Sí;Nuestra selección nunca clasifica al Mundial jajaja;No;0;5;No estoy buscando cambiar;3;;Si, tiene un rol importante real;No se;Dudo que un colegio tendría algún impacto;No;;Trámites presenciales en organismos públicos;Si;No;No tengo ninguna discapacidad;De acuerdo;0.2;No;No;En desacuerdo;Si;No;Si pero no es tanto
2022-10-07T12:24:23Z;Hombre cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Agricultura, plantaciones, otros sectores rurales;501 - 1.000;Nacional;;Responsable;Indeterminado;Full time;Gestión RRHH;4;;3;6;195000;Horarios flexibles, Charter / Servicio de transporte, Posgrados, Préstamos;Variable en función de los resultados de compañía;Anual;3 o más ajustes;;Septiembre;No;Si;Sí;Sí, formalmente está avalado por la empresa;No;0.1;4;No,  pero escucho ofertas;5;;Si, tiene un rol importante real;Si;Actualmente muchas personas con o si formación profesional, de otras ramas se interesan en la gestión del capital humano sin contar con los conocimientos necesarios.;Si;;Archivar;Si;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.2;No;No;En desacuerdo;Si;No;No es un entorno machista
2022-10-07T12:27:06Z;Mujer cis;25 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;101 - 250;Multinacional;;HRBP;Indeterminado;Full time;Generalista;0;;1;8;354000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Abono de internet, Comedor / Almuerzos, Frutas y snacks, Guadería, Gimnasio, Home office;No recibo bono;No recibo bono;2 ajustes;;Julio;No;Si;No;Sí, formalmente está avalado por la empresa;Si;0.2;4;No estoy buscando cambiar;3;;Se dice que sí, pero en la práctica no tiene un rol importante;Si;NA;Si;;Archivar;Si;No;No tengo ninguna discapacidad;De acuerdo;0.4;Si;No;Ni de acuerdo ni en desacuerdo;No;Si;Si pero no es tanto
2022-10-07T12:29:29Z;Mujer cis;36 - 40;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;2.501 - 5.000;Nacional;;Analista;Indeterminado;Full time;Reclutamiento y selección;0;;0;6;175000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Licencias extendidas, Guadería, Home office, Reintegros en capacitación;No recibo bono;No recibo bono;1 solo;;Julio;Si, en proyectos ad honorem;Si;Sí;No me interesa;No;0;3;No,  pero escucho ofertas;3;;Se dice que sí, pero en la práctica no tiene un rol importante;Si;Un lugar que nos represente a los que estudiamos las carreras base, aunque hoy hay diversidad de carreras que trabajan en el área.;Si;;Hacer cosas que no aportan;Si;No;No tengo ninguna discapacidad;Ni de acuerdo ni en desacuerdo;0.6;Si;No;Ni de acuerdo ni en desacuerdo;Si;No;Si pero no es tanto
2022-10-07T12:32:19Z;Mujer cis;25 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;10.001 o más;Multinacional;;Analista;Indeterminado;Full time;HRIS / Administración de sistemas de RH;0;;1;4;200000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Licencias extendidas, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Guadería, Gimnasio, Home office, Idiomas, Posgrados, Seguro de vida (adicionales a los de ley), Reintegro en electricidad, Reintegros en capacitación, Spotify / Netflix / Servicios de Streaming;Menos de un sueldo;Semestral;3 o más ajustes;;Agosto;Si, en emprendimiento no relacionado con RRHH;Si;Trabajo full remoto;No sé;Si;0.8;4;No,  pero escucho ofertas;3;;Se dice que sí, pero en la práctica no tiene un rol importante;No se;NA;No;;Trámites presenciales en organismos públicos;Si;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.5;No se;Si;De acuerdo;Si;No;No es un entorno machista
2022-10-07T12:40:17Z;Mujer cis;31 - 35;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Alimentación, bebidas;5.001 - 10.000;Multinacional;;Gerente;Indeterminado;Full time;Generalista + RRLL;4;;0;8;600;Medicina prepaga / Plan de salud, Tarjeta de descuento, Vacaciones extendidas, Licencias extendidas, Abono de celular, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Guadería, Gimnasio, Idiomas, Posgrados, Préstamos, Seguro de vida (adicionales a los de ley);Tres sueldos o más;Anual;3 o más ajustes;;Septiembre;No;Si;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;No;0.3;4;No,  pero escucho ofertas;4;;Si, tiene un rol importante real;Si;NA;Si;;Trámites presenciales en organismos públicos;Si;No;No tengo ninguna discapacidad;De acuerdo;0.6;Si;Si;Ni de acuerdo ni en desacuerdo;Si;No. Pero si muchos comentarios marchistas durante mi carrera. No ahora.;No es un entorno machista
2022-10-07T12:42:27Z;Hombre cis;41 - 45;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Industrias químicas;10.001 o más;Multinacional;;Analista;Indeterminado;Full time;People analytics;0;;1;15;360000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Abono de celular, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Gimnasio, Home office, Idiomas, Posgrados, Seguro de vida (adicionales a los de ley);Variable en función de los resultados de compañía;Anual;2 ajustes;;Octubre;No;Si;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;Si;1;5;No estoy buscando cambiar;4;;Si, tiene un rol importante real;No;Porque no creo que aporte nada, y sólo va a servir para que se armen kioscos como los del Colegio de Económicas y de Derecho;Si;;Archivar;Si;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.4;Si;No se;De acuerdo;Si;Si;No es un entorno machista
